name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,
nan,877,1,1,1,15,235,Freeway,1,0.17820,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.565166,39.791538,0.0 116.566976,39.792334,0.0</coordinates></LineString>","<LineString><coordinates>116.565166,39.791538,0.0 116.566976,39.792334,0.0</coordinates></LineString>",,,
科创十四街,878,1,1,1,423,446,Freeway,1,0.17889,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.558512,39.776791,0.0 116.560271,39.777663,0.0</coordinates></LineString>","<LineString><coordinates>116.558512,39.776791,0.0 116.560271,39.777663,0.0</coordinates></LineString>",,,
科创十四街,879,1,1,1,446,423,Freeway,1,0.17889,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.560271,39.777663,0.0 116.558512,39.776791,0.0</coordinates></LineString>","<LineString><coordinates>116.560271,39.777663,0.0 116.558512,39.776791,0.0</coordinates></LineString>",,,
科创十四街,880,1,1,1,446,423,Freeway,1,0.17889,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.560271,39.777663,0.0 116.558512,39.776791,0.0</coordinates></LineString>","<LineString><coordinates>116.560271,39.777663,0.0 116.558512,39.776791,0.0</coordinates></LineString>",,,
科创十四街,881,1,1,1,423,446,Freeway,1,0.17889,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.558512,39.776791,0.0 116.560271,39.777663,0.0</coordinates></LineString>","<LineString><coordinates>116.558512,39.776791,0.0 116.560271,39.777663,0.0</coordinates></LineString>",,,
经海一路,882,1,1,1,216,217,Freeway,1,0.17949,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.515112,39.809830,0.0 116.513701,39.811027,0.0</coordinates></LineString>","<LineString><coordinates>116.515112,39.809830,0.0 116.513701,39.811027,0.0</coordinates></LineString>",,,
科创二街,883,1,1,1,2,524,Freeway,1,0.18054,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.524687,39.814472,0.0 116.522897,39.813608,0.0</coordinates></LineString>","<LineString><coordinates>116.524687,39.814472,0.0 116.522897,39.813608,0.0</coordinates></LineString>",,,
科创二街,884,1,1,1,524,2,Freeway,1,0.18054,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.522897,39.813608,0.0 116.524687,39.814472,0.0</coordinates></LineString>","<LineString><coordinates>116.522897,39.813608,0.0 116.524687,39.814472,0.0</coordinates></LineString>",,,
科创二街,885,1,1,1,524,2,Freeway,1,0.18054,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.522897,39.813608,0.0 116.524687,39.814472,0.0</coordinates></LineString>","<LineString><coordinates>116.522897,39.813608,0.0 116.524687,39.814472,0.0</coordinates></LineString>",,,
科创二街,886,1,1,1,2,524,Freeway,1,0.18054,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.524687,39.814472,0.0 116.522897,39.813608,0.0</coordinates></LineString>","<LineString><coordinates>116.524687,39.814472,0.0 116.522897,39.813608,0.0</coordinates></LineString>",,,
兴业街,887,1,1,1,459,605,Freeway,1,0.18073,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.528699,39.763741,0.0 116.529632,39.765199,0.0</coordinates></LineString>","<LineString><coordinates>116.528699,39.763741,0.0 116.529632,39.765199,0.0</coordinates></LineString>",,,
兴业街,888,1,1,1,605,459,Freeway,1,0.18073,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.529632,39.765199,0.0 116.528699,39.763741,0.0</coordinates></LineString>","<LineString><coordinates>116.529632,39.765199,0.0 116.528699,39.763741,0.0</coordinates></LineString>",,,
兴业街,889,1,1,1,605,459,Freeway,1,0.18073,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.529632,39.765199,0.0 116.528699,39.763741,0.0</coordinates></LineString>","<LineString><coordinates>116.529632,39.765199,0.0 116.528699,39.763741,0.0</coordinates></LineString>",,,
兴业街,890,1,1,1,459,605,Freeway,1,0.18073,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.528699,39.763741,0.0 116.529632,39.765199,0.0</coordinates></LineString>","<LineString><coordinates>116.528699,39.763741,0.0 116.529632,39.765199,0.0</coordinates></LineString>",,,
中和街,891,1,1,1,191,397,Freeway,1,0.18373,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.510370,39.799230,0.0 116.512193,39.800107,0.0</coordinates></LineString>","<LineString><coordinates>116.510370,39.799230,0.0 116.512193,39.800107,0.0</coordinates></LineString>",,,
中和街,892,1,1,1,397,191,Freeway,1,0.18373,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.512193,39.800107,0.0 116.510370,39.799230,0.0</coordinates></LineString>","<LineString><coordinates>116.512193,39.800107,0.0 116.510370,39.799230,0.0</coordinates></LineString>",,,
中和街,893,1,1,1,397,191,Freeway,1,0.18373,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.512193,39.800107,0.0 116.510370,39.799230,0.0</coordinates></LineString>","<LineString><coordinates>116.512193,39.800107,0.0 116.510370,39.799230,0.0</coordinates></LineString>",,,
中和街,894,1,1,1,191,397,Freeway,1,0.18373,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.510370,39.799230,0.0 116.512193,39.800107,0.0</coordinates></LineString>","<LineString><coordinates>116.510370,39.799230,0.0 116.512193,39.800107,0.0</coordinates></LineString>",,,
荣京东街,895,1,1,1,291,196,Freeway,1,0.18385,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.507031,39.793091,0.0 116.508850,39.793974,0.0</coordinates></LineString>","<LineString><coordinates>116.507031,39.793091,0.0 116.508850,39.793974,0.0</coordinates></LineString>",,,
西环南路,896,1,1,1,468,462,Freeway,1,0.18402,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.539823,39.765202,0.0 116.538179,39.764134,0.0</coordinates></LineString>","<LineString><coordinates>116.539823,39.765202,0.0 116.538179,39.764134,0.0</coordinates></LineString>",,,
运成街,897,1,1,1,199,281,Freeway,1,0.18447,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.513796,39.787924,0.0 116.511973,39.787035,0.0</coordinates></LineString>","<LineString><coordinates>116.513796,39.787924,0.0 116.511973,39.787035,0.0</coordinates></LineString>",,,
运成街,898,1,1,1,281,199,Freeway,1,0.18447,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.511973,39.787035,0.0 116.513796,39.787924,0.0</coordinates></LineString>","<LineString><coordinates>116.511973,39.787035,0.0 116.513796,39.787924,0.0</coordinates></LineString>",,,
